City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ulaanbaatar,47.9077,106.8832,-17.93,65,24,1.0,MN,1675571336
1,saint-philippe,-21.3585,55.7679,27.84,82,96,4.12,RE,1675571342
2,dikson,73.5069,80.5464,-21.1,99,100,1.59,RU,1675571344
3,hobart,-42.8794,147.3294,23.48,54,20,6.17,AU,1675571114
4,albany,42.6001,-73.9662,-7.65,55,52,2.57,US,1675571079
5,atuona,-9.8,-139.0333,26.33,73,23,8.22,PF,1675571346
6,melfort,52.8667,-104.6177,-7.93,79,100,1.03,CA,1675571347
7,dingle,10.9995,122.6711,28.42,71,42,5.76,PH,1675571350
8,nanortalik,60.1432,-45.2371,-5.57,65,100,12.59,GL,1675571354
9,codrington,-38.2667,141.9667,18.02,59,99,4.93,AU,1675571355
10,vaini,-21.2,-175.2,29.09,89,75,4.63,TO,1675571356
11,port-cartier,50.0334,-66.8654,-22.18,94,36,2.7,CA,1675571357
12,angoche,-16.2325,39.9086,24.57,90,89,2.88,MZ,1675571358
13,kaitangata,-46.2817,169.8464,17.69,91,100,6.27,NZ,1675571359
14,oum hadjer,13.2954,19.6966,20.8,13,17,3.89,TD,1675571360
15,emerald,-23.5333,148.1667,31.3,55,87,4.31,AU,1675571360
16,nouadhibou,20.931,-17.0347,17.99,27,100,8.23,MR,1675571361
17,castro,-24.7911,-50.0119,16.28,94,100,2.09,BR,1675571364
18,rikitea,-23.1203,-134.9692,25.84,77,27,6.53,PF,1675571365
19,warmbad,-28.45,18.7333,22.31,40,71,3.44,NA,1675571367
20,landeck,47.1301,10.5636,-10.05,82,82,1.94,AT,1675571367
21,saldanha,-33.0117,17.9442,18.03,96,100,5.22,ZA,1675571368
22,srednekolymsk,67.45,153.6833,-35.18,99,100,2.6,RU,1675571369
23,klichka,50.4457,117.996,-17.17,83,25,1.11,RU,1675571370
24,ushuaia,-54.8,-68.3,9.81,81,20,5.66,AR,1675571371
25,upernavik,72.7868,-56.1549,-24.96,100,99,1.97,GL,1675571371
26,guerrero negro,27.9769,-114.0611,15.3,75,0,4.49,MX,1675571263
27,avarua,-21.2078,-159.775,28.03,78,75,7.2,CK,1675571151
28,jamestown,42.097,-79.2353,0.4,39,0,4.12,US,1675571372
29,cairns,-16.9167,145.7667,30.97,86,75,2.06,AU,1675571337
30,bull savanna,17.8868,-77.5902,21.46,83,24,2.86,JM,1675571373
31,qitaihe,45.8,130.85,-8.02,88,100,2.35,CN,1675571373
32,pangnirtung,66.1451,-65.7125,-34.64,99,100,0.68,CA,1675571374
33,nikolskoye,59.7035,30.7861,-7.06,98,91,1.84,RU,1675571375
34,punta arenas,-53.15,-70.9167,10.06,71,0,13.89,CL,1675570851
35,havre,49.5833,0.3333,7.89,100,100,1.03,FR,1675571375
36,busselton,-33.65,115.3333,31.02,29,28,4.53,AU,1675571376
37,bend,44.0582,-121.3153,5.83,70,75,1.54,US,1675571177
38,itarema,-2.9248,-39.9167,25.39,86,19,5.04,BR,1675571376
39,dicabisagan,17.0818,122.4157,25.02,81,97,2.48,PH,1675571377
40,zyryanovsk,49.7386,84.2719,-2.95,96,100,0.59,KZ,1675571377
41,kapaa,22.0752,-159.319,24.18,83,100,7.2,US,1675571378
42,okhotsk,59.3833,143.3,-22.15,79,66,5.04,RU,1675571378
43,cape town,-33.9258,18.4232,21.6,88,75,5.14,ZA,1675571020
44,boa vista,2.8197,-60.6733,24.99,83,40,4.12,BR,1675571379
45,los llanos de aridane,28.6585,-17.9182,14.86,66,100,3.6,ES,1675571380
46,bluff,-46.6,168.3333,15.41,92,100,3.18,NZ,1675571380
47,tromso,69.6496,18.957,2.01,64,100,7.2,NO,1675571381
48,tuktoyaktuk,69.4541,-133.0374,-43.0,66,0,0.0,CA,1675571381
49,touros,-5.1989,-35.4608,25.98,82,18,4.67,BR,1675571382
50,kastamonu,41.5,33.6667,-3.82,86,100,0.74,TR,1675571382
51,oussouye,12.485,-16.5469,20.1,30,62,3.43,SN,1675571382
52,sitka,57.0531,-135.33,2.94,87,100,5.14,US,1675571383
53,pundaguitan,6.3711,126.1689,26.96,74,100,4.04,PH,1675571384
54,kodiak,57.79,-152.4072,0.73,86,100,0.0,US,1675571384
55,altamira,-3.2033,-52.2064,22.24,99,100,1.6,BR,1675571385
56,bontang,0.1333,117.5,28.4,71,54,3.15,ID,1675571385
57,norman wells,65.282,-126.8329,-25.98,70,75,2.06,CA,1675571385
58,chokurdakh,70.6333,147.9167,-31.82,97,100,3.81,RU,1675571386
59,san quintin,30.4833,-115.95,14.09,81,4,4.39,MX,1675571386
60,saint george,37.1041,-113.5841,9.33,54,0,2.06,US,1675571208
61,victoria,22.2855,114.1577,20.21,80,100,2.24,HK,1675571387
62,mataura,-46.1927,168.8643,17.31,94,99,1.57,NZ,1675571261
63,banda aceh,5.5577,95.3222,28.36,70,56,1.97,ID,1675571388
64,baykit,61.67,96.37,-13.42,97,97,0.82,RU,1675571388
65,joutseno,61.118,28.5076,-15.68,90,100,1.92,FI,1675571388
66,esperance,-33.8667,121.9,27.62,44,0,4.22,AU,1675571389
67,tezu,27.9167,96.1667,24.42,19,33,1.67,IN,1675571390
68,ilulissat,69.2167,-51.1,-18.99,60,27,4.12,GL,1675571390
69,ilebo,-4.3167,20.5833,19.33,97,100,0.86,CD,1675571390
70,tasiilaq,65.6145,-37.6368,-3.91,91,100,12.72,GL,1675571311
71,puerto ayora,-0.7393,-90.3518,25.86,96,84,1.79,EC,1675571315
72,fortuna,40.5982,-124.1573,12.19,87,100,13.38,US,1675571391
73,qaanaaq,77.484,-69.3632,-22.72,66,8,1.14,GL,1675571392
74,olafsvik,64.8945,-23.7142,4.76,96,100,15.85,IS,1675571392
75,inuvik,68.3499,-133.7218,-34.52,68,0,3.6,CA,1675571393
76,pisco,-13.7,-76.2167,22.03,94,40,4.63,PE,1675571149
77,mount gambier,-37.8333,140.7667,19.57,51,95,3.3,AU,1675571393
78,bredasdorp,-34.5322,20.0403,22.34,76,94,2.29,ZA,1675571394
79,vardo,70.3705,31.1107,-8.01,93,93,5.14,NO,1675571394
80,hithadhoo,-0.6,73.0833,26.8,71,25,5.5,MV,1675571395
81,hermanus,-34.4187,19.2345,20.45,95,83,2.54,ZA,1675571395
82,churhat,24.428,81.6703,21.5,28,0,2.27,IN,1675571395
83,shelui,-4.3667,34.2,18.15,85,99,0.69,TZ,1675571396
84,omboue,-1.5746,9.2618,24.79,90,95,2.57,GA,1675571396
85,khani,41.9563,42.9566,-4.24,61,93,2.94,GE,1675571397
86,coquimbo,-29.9533,-71.3436,18.85,77,0,1.54,CL,1675571397
87,palmer,42.1584,-72.3287,-8.06,45,100,3.09,US,1675571398
88,epe,6.5841,3.9834,24.91,93,98,1.78,NG,1675571398
89,cherskiy,68.75,161.3,-38.31,100,95,0.71,RU,1675571399
90,belle glade,26.6845,-80.6676,22.23,71,83,7.01,US,1675571399
91,east london,-33.0153,27.9116,23.52,88,0,3.6,ZA,1675571399
92,dunga bunga,29.7493,73.2432,18.95,31,0,2.12,PK,1675571400
93,peruibe,-24.32,-46.9983,24.41,85,68,1.85,BR,1675571400
94,fukue,32.6881,128.8419,11.2,50,75,3.09,JP,1675571401
95,talnakh,69.4865,88.3972,-13.18,95,100,3.34,RU,1675571401
96,tiksi,71.6872,128.8694,-32.0,100,100,1.71,RU,1675571403
97,margate,51.3813,1.3862,8.83,80,91,5.36,GB,1675571404
98,komsomolskiy,40.4272,71.7189,4.4,81,40,2.06,UZ,1675571404
99,provideniya,64.3833,-173.3,-18.48,92,99,4.72,RU,1675571406
100,ahome,25.9167,-109.1833,15.97,74,0,2.63,MX,1675571407
101,krasnouralsk,58.3638,60.0407,-13.77,93,99,0.52,RU,1675571409
102,sarankhola,22.3082,89.7897,27.0,23,66,2.46,BD,1675571411
103,kavaratti,10.5669,72.642,27.45,68,7,2.28,IN,1675571412
104,ambalavao,-21.8333,46.9333,19.4,92,100,2.02,MG,1675571413
105,port alfred,-33.5906,26.891,21.21,80,65,3.91,ZA,1675571319
106,araouane,18.9048,-3.5265,13.03,27,60,5.1,ML,1675571414
107,kruisfontein,-34.0033,24.7314,19.94,72,0,3.12,ZA,1675571415
108,new norfolk,-42.7826,147.0587,23.29,37,0,2.24,AU,1675571416
109,gijon,43.5357,-5.6615,9.7,88,83,2.12,ES,1675571302
110,latehar,23.75,84.5,25.08,19,4,3.31,IN,1675571417
111,bengkulu,-3.8004,102.2655,28.29,68,89,3.91,ID,1675571314
112,maniitsoq,65.4167,-52.9,-17.92,78,100,2.36,GL,1675571418
113,longyearbyen,78.2186,15.6401,-8.09,53,0,14.4,SJ,1675571419
114,santa flavia,38.085,13.5351,12.85,81,53,5.95,IT,1675571419
115,port elizabeth,-33.918,25.5701,21.84,79,0,2.06,ZA,1675571420
116,asfi,32.2994,-9.2372,12.14,71,4,1.43,MA,1675571421
117,siraha,26.6541,86.2087,19.49,45,0,1.81,NP,1675571280
118,faanui,-16.4833,-151.75,27.44,74,29,7.05,PF,1675571422
119,ordynskoye,54.3656,81.8994,-13.76,92,90,2.38,RU,1675571422
120,richards bay,-28.783,32.0377,23.4,83,3,1.68,ZA,1675571424
121,luanda,-8.8368,13.2343,25.0,88,100,3.09,AO,1675570931
122,mar del plata,-38.0023,-57.5575,19.37,78,0,3.13,AR,1675571425
123,la romana,18.4273,-68.9728,22.33,87,22,4.79,DO,1675571426
124,cayenne,4.9333,-52.3333,23.02,100,75,2.06,GF,1675571426
125,georgetown,5.4112,100.3354,30.97,62,20,2.06,MY,1675571385
126,hasaki,35.7333,140.8333,11.22,51,20,5.04,JP,1675571427
127,yellowknife,62.456,-114.3525,-30.71,76,0,2.06,CA,1675571201
128,jambi,-1.6,103.6167,28.68,74,96,1.93,ID,1675571428
129,villazon,-22.0866,-65.5942,5.94,86,100,3.78,BO,1675571429
130,ponta do sol,32.6667,-17.1,16.35,58,39,3.6,PT,1675571263
131,raudeberg,61.9875,5.1352,4.42,76,81,6.59,NO,1675571429
132,saskylakh,71.9167,114.0833,-33.04,99,100,1.74,RU,1675571430
133,dryden,49.7833,-92.7503,-14.84,78,100,1.03,CA,1675571430
134,the valley,18.217,-63.0578,25.61,79,6,9.08,AI,1675571167
135,caribou,46.8606,-68.012,-23.76,53,0,2.06,US,1675571431
136,ningyang,35.7642,116.7914,9.83,43,2,5.84,CN,1675571431
137,santa marta,11.2408,-74.199,28.03,57,75,2.06,CO,1675571432
138,elko,41.0002,-115.5012,-2.42,77,100,0.89,US,1675571432
139,puerto madryn,-42.7692,-65.0385,26.34,41,100,12.06,AR,1675571144
140,moranbah,-22.0016,148.0466,26.96,80,100,3.89,AU,1675571433
141,cidreira,-30.1811,-50.2056,20.03,82,2,3.21,BR,1675571433
142,boundiali,9.5217,-6.4869,21.58,21,0,1.87,CI,1675571434
143,port hardy,50.6996,-127.4199,8.1,93,100,10.8,CA,1675571434
144,port-gentil,-0.7193,8.7815,27.39,78,89,3.22,GA,1675571435
145,houma,29.5958,-90.7195,10.56,89,0,1.54,US,1675571435
146,imeni poliny osipenko,52.4201,136.4853,-18.97,87,100,1.93,RU,1675571436
147,sisimiut,66.9395,-53.6735,-22.01,93,83,3.58,GL,1675571436
148,cuenca,-2.8833,-78.9833,14.07,82,75,3.09,EC,1675571437
149,hilo,19.7297,-155.09,20.62,96,100,2.24,US,1675571393
150,tarko-sale,64.9225,77.785,-12.53,96,94,3.92,RU,1675571438
151,ribeira grande,38.5167,-28.7,16.54,92,16,3.58,PT,1675571156
152,conde,-7.2597,-34.9075,24.7,94,20,2.06,BR,1675571438
153,kolochava,48.4285,23.6959,-9.65,94,66,2.4,UA,1675571439
154,bethel,41.3712,-73.414,-2.8,62,0,0.0,US,1675571203
155,howard springs,-12.497,131.047,32.77,70,96,1.1,AU,1675571439
156,banjar,-8.19,114.9675,28.4,76,100,2.67,ID,1675571440
157,soe,-9.8607,124.284,22.33,84,100,3.19,ID,1675571440
158,russko-vysotskoye,59.6996,29.944,-7.59,97,87,1.52,RU,1675571441
159,harindanga,22.0383,88.3214,25.75,22,63,1.55,IN,1675571441
160,atambua,-9.1061,124.8925,24.56,81,100,1.74,ID,1675571441
161,druskininkai,54.0167,23.9667,-3.75,81,100,3.64,LT,1675571442
162,thunder bay,48.4001,-89.3168,-10.01,79,100,0.51,CA,1675571437
163,ascension,30.2169,-90.9001,10.01,86,0,0.0,US,1675571443
164,constitucion,-35.3333,-72.4167,14.49,95,20,0.85,CL,1675571443
165,nyirtelek,48.0167,21.6333,-3.37,74,4,6.71,HU,1675571444
166,porgera,-5.4667,143.2,9.47,94,100,0.49,PG,1675571444
167,aklavik,68.2191,-135.0107,-39.0,67,0,1.54,CA,1675571155
168,tornio,65.8481,24.1466,-4.99,90,100,3.2,FI,1675571445
169,matara,5.9485,80.5353,28.74,69,72,1.7,LK,1675571446
170,sembakung,3.8167,117.25,33.83,47,64,0.75,ID,1675571446
171,derzhavinsk,51.1,66.3167,-13.29,97,87,3.84,KZ,1675571446
172,cabo san lucas,22.8909,-109.9124,20.84,61,3,0.45,MX,1675571334
173,sao filipe,14.8961,-24.4956,21.32,63,40,7.08,CV,1675571447
174,chuy,-33.6971,-53.4616,20.12,91,99,7.59,UY,1675571156
175,marabba,12.35,32.1833,20.14,19,52,4.75,SD,1675571448
176,san patricio,28.017,-97.5169,14.38,80,1,2.21,US,1675571448
177,yeppoon,-23.1333,150.7333,31.88,76,97,5.33,AU,1675571449
178,ulukulevo,54.4355,56.3221,-19.86,99,100,0.79,RU,1675571449
179,ojinaga,29.5667,-104.4167,12.45,62,0,2.06,MX,1675571449
180,zhigalovo,54.8097,105.1578,-12.69,90,99,0.66,RU,1675571450
181,zhigansk,66.7697,123.3711,-39.55,95,48,3.65,RU,1675571451
182,henties bay,-22.116,14.2845,17.6,88,99,1.96,NA,1675571451
183,mahebourg,-20.4081,57.7,28.16,78,40,2.57,MU,1675571452
184,barrow,71.2906,-156.7887,-27.99,76,100,4.12,US,1675571312
185,torbay,47.6666,-52.7314,-7.36,84,75,14.4,CA,1675571452
186,kapenguria,1.2511,35.0895,16.06,43,83,2.01,KE,1675571453
187,cap malheureux,-19.9842,57.6142,27.48,79,77,2.68,MU,1675571262
188,lebu,-37.6167,-73.65,14.33,95,60,3.69,CL,1675571454
189,asau,46.4333,26.4,-5.4,86,99,3.2,RO,1675571454
190,santa cruz de la palma,28.6835,-17.7642,17.08,63,100,3.6,ES,1675571455
191,machali,-34.1833,-70.6667,19.35,63,0,0.83,CL,1675571166
192,puerto cabezas,14.0351,-83.3888,23.19,85,0,4.26,NI,1675571455
193,butaritari,3.0707,172.7902,27.23,82,71,8.29,KI,1675571456
194,darnah,32.767,22.6367,13.81,71,29,9.16,LY,1675571456
195,esna,25.2934,32.554,7.01,46,31,2.49,EG,1675571456
196,pinheiro machado,-31.5783,-53.3811,15.59,88,0,2.66,BR,1675571197
197,pevek,69.7008,170.3133,-37.55,100,61,2.14,RU,1675571457
198,acajutla,13.5928,-89.8275,25.49,63,10,3.39,SV,1675571457
199,chapais,49.7834,-74.8492,-19.12,93,100,4.73,CA,1675571458
200,sovetsk,55.0839,21.8785,-4.48,88,19,2.34,RU,1675571458
201,cavalcante,-13.7975,-47.4583,19.86,87,1,0.32,BR,1675571459
202,flinders,-34.5833,150.8552,26.7,52,0,5.17,AU,1675571459
203,rawson,-43.3002,-65.1023,27.09,35,95,12.8,AR,1675571460
204,bambous virieux,-20.3428,57.7575,28.14,78,40,2.57,MU,1675571460
205,iqaluit,63.7506,-68.5145,-35.15,66,75,9.26,CA,1675571407
206,alice springs,-23.7,133.8833,27.75,21,0,3.6,AU,1675571461
207,roald,62.5833,6.1333,5.74,65,40,6.17,NO,1675571461
208,thompson,55.7435,-97.8558,-28.91,76,75,0.0,CA,1675571247
209,emmett,43.8735,-116.4993,4.94,73,100,1.03,US,1675571251
210,olinda,-8.0089,-34.8553,26.85,78,75,2.57,BR,1675571463
211,lumberton,34.6182,-79.0086,0.46,80,0,0.0,US,1675571185
212,moron,-34.6534,-58.6198,22.76,77,0,1.7,AR,1675571467
213,huilong,31.8111,121.655,10.52,71,62,4.56,CN,1675571468
214,freeport,40.6576,-73.5832,-1.13,58,0,8.75,US,1675571468
215,kalmunai,7.4167,81.8167,26.89,72,93,4.54,LK,1675571469
216,lagoa,39.05,-27.9833,15.1,88,35,10.02,PT,1675571469
217,airai,-8.9266,125.4092,19.6,79,98,1.65,TL,1675571460
218,demba,-5.51,22.2667,18.98,90,100,0.82,CD,1675571470
219,praya,14.9215,-23.5087,20.3,77,79,8.75,CV,1675571470
220,general roca,-39.0333,-67.5833,28.68,26,5,9.29,AR,1675571471
221,lavrentiya,65.5833,-171.0,-23.44,92,94,3.26,RU,1675571472
222,rajpur,22.3,74.35,22.44,23,4,4.11,IN,1675571283
223,grindavik,63.8424,-22.4338,6.26,93,100,15.95,IS,1675571473
224,berlevag,70.8578,29.0864,-6.0,68,97,6.17,NO,1675571475
225,carnarvon,-24.8667,113.6333,28.85,60,21,6.57,AU,1675571475
226,hambantota,6.1241,81.1185,27.19,94,40,4.63,LK,1675571476
227,luderitz,-26.6481,15.1594,17.75,84,71,6.25,NA,1675571476
228,sumenep,-7.0167,113.8667,29.25,72,91,4.41,ID,1675571477
229,port moresby,-9.4431,147.1797,30.68,66,75,5.14,PG,1675571478
230,caldas novas,-17.7417,-48.625,20.14,93,90,0.98,BR,1675571373
231,klaksvik,62.2266,-6.589,7.51,77,98,9.83,FO,1675571479
232,sur,22.5667,59.5289,23.82,54,0,2.07,OM,1675571480
233,illela,13.7292,5.2975,22.04,17,29,4.41,NG,1675571480
234,lorengau,-2.0226,147.2712,29.18,70,95,2.46,PG,1675571481
235,ninh binh,20.2539,105.975,22.44,86,100,4.13,VN,1675571482
236,weiser,44.251,-116.9693,2.7,83,100,2.0,US,1675571482
237,bijie,27.3125,105.2942,10.0,68,93,0.56,CN,1675571483
238,mackenzie,55.2999,-123.1698,2.12,87,100,3.6,CA,1675571435
239,ambovombe,-25.1667,46.0833,24.68,74,100,5.99,MG,1675571484
240,lasa,46.6166,10.7002,0.01,54,15,3.78,IT,1675571485
241,eyl,7.9803,49.8164,24.03,66,100,7.26,SO,1675571486
242,hamilton,39.1834,-84.5333,6.56,52,0,6.69,US,1675571228
243,ternuvate,47.8305,36.1276,-2.94,94,100,2.16,UA,1675571486
244,biak,-0.9131,122.8766,26.12,74,99,1.2,ID,1675571487
245,grand baie,-20.0182,57.5802,28.26,79,71,2.24,MU,1675571487
246,wanning,18.8003,110.3967,25.31,73,86,3.55,CN,1675571488
247,waterloo,43.4668,-80.5164,-1.79,79,0,2.68,CA,1675571488
248,novobiryusinskiy,56.9578,97.7076,-12.23,93,100,1.54,RU,1675571490
249,bud,39.447,-86.1758,5.99,53,100,6.88,US,1675571490
250,gizo,-8.103,156.8419,28.42,76,93,5.04,SB,1675571491
251,cienfuegos,22.1461,-80.4356,22.08,88,6,3.09,CU,1675571491
252,paducah,37.0834,-88.6001,5.16,66,0,3.6,US,1675571491
253,baiao,-2.7906,-49.6717,21.85,100,100,0.61,BR,1675571492
